,Time,Time_Elapsed,CPU_Precentage
0,14:15:34,0.1043710708618164,3.6
1,14:15:35,0.9082648754119873,18.7
2,14:15:35,1.1087849140167236,17.3
3,14:15:35,1.3096318244934082,16.0
4,14:15:35,1.5108623504638672,6.3
5,14:15:36,1.7121665477752686,15.0
6,14:15:36,1.9133195877075195,8.9
7,14:15:36,2.114880084991455,15.2
8,14:15:36,2.315824270248413,15.2
9,14:15:36,2.5171926021575928,9.9
10,14:15:37,2.7183525562286377,30.9
11,14:15:37,2.9198691844940186,10.0
12,14:15:37,3.1208455562591553,17.1
13,14:15:37,3.322542667388916,10.0
14,14:15:37,3.5240495204925537,9.9
15,14:15:38,3.724907159805298,19.5
16,14:15:38,3.926708459854126,9.9
17,14:15:38,4.128607511520386,11.2
18,14:15:38,4.329473257064819,66.7
19,14:15:38,4.531045436859131,12.2
20,14:15:39,4.732461452484131,14.8
21,14:15:39,4.934038400650024,10.0
22,14:15:39,5.1358654499053955,11.0
23,14:15:39,5.336663484573364,49.4
24,14:15:39,5.538078546524048,2.5
25,14:15:40,5.739884614944458,7.7
26,14:15:40,5.941637754440308,3.7
27,14:15:40,6.14333438873291,10.0
28,14:15:40,6.344426155090332,6.3
29,14:15:40,6.545541048049927,15.0
30,14:15:41,6.947886228561401,8.8
31,14:15:41,7.149484395980835,1.3
32,14:15:41,7.350435733795166,12.2
33,14:15:41,7.551944255828857,2.5
34,14:15:42,7.753417730331421,8.9
35,14:15:42,7.954513788223267,3.7
36,14:15:42,8.156250476837158,8.5
37,14:15:42,8.357527256011963,7.5
38,14:15:42,8.559174299240112,10.0
39,14:15:43,8.961313009262085,21.5
40,14:15:43,9.1626718044281,2.5
41,14:15:43,9.36398458480835,13.6
42,14:15:43,9.56520962715149,51.3
43,14:15:44,9.766651153564453,9.9
44,14:15:44,9.968278884887695,7.6
45,14:15:44,10.169750690460205,10.0
46,14:15:44,10.371440887451172,1.3
47,14:15:44,10.574917078018188,58.0
48,14:15:45,10.776183128356934,1.2
49,14:15:45,10.977515935897827,10.3
50,14:15:45,11.178831100463867,1.2
