,Time,Time_Elapsed,Disk_Precentage
0,14:15:34,0.0011737346649169922,54.4
1,14:15:34,0.10162472724914551,54.4
2,14:15:34,0.20208001136779785,54.4
3,14:15:34,0.30260348320007324,54.4
4,14:15:34,0.40317559242248535,54.4
5,14:15:34,0.5036866664886475,54.4
6,14:15:34,0.6043074131011963,54.4
7,14:15:35,0.7049920558929443,54.4
8,14:15:35,0.8052406311035156,54.4
9,14:15:35,0.9054617881774902,54.4
10,14:15:35,1.0057871341705322,54.4
11,14:15:35,1.1060092449188232,54.4
12,14:15:35,1.206336259841919,54.4
13,14:15:35,1.3065874576568604,54.4
14,14:15:35,1.4071016311645508,54.4
15,14:15:35,1.507512092590332,54.4
16,14:15:36,1.6079075336456299,54.4
17,14:15:36,1.7085051536560059,54.4
18,14:15:36,1.809175729751587,54.4
19,14:15:36,1.9097161293029785,54.4
20,14:15:36,2.0101099014282227,54.4
21,14:15:36,2.1106557846069336,54.4
22,14:15:36,2.2108874320983887,54.4
23,14:15:36,2.3113136291503906,54.4
24,14:15:36,2.411858320236206,54.4
25,14:15:36,2.5124175548553467,54.4
26,14:15:37,2.6131598949432373,54.4
27,14:15:37,2.7135496139526367,54.4
28,14:15:37,2.813967227935791,54.4
29,14:15:37,2.914384126663208,54.4
30,14:15:37,3.015228509902954,54.4
31,14:15:37,3.1155495643615723,54.4
32,14:15:37,3.2161686420440674,54.4
33,14:15:37,3.316805839538574,54.4
34,14:15:37,3.41717529296875,54.4
35,14:15:37,3.5180087089538574,54.4
36,14:15:38,3.6184957027435303,54.4
37,14:15:38,3.718759298324585,54.4
38,14:15:38,3.819404125213623,54.4
39,14:15:38,3.919978380203247,54.4
40,14:15:38,4.020704507827759,54.4
41,14:15:38,4.121016263961792,54.4
42,14:15:38,4.221379041671753,54.4
43,14:15:38,4.32175087928772,54.4
44,14:15:38,4.422235488891602,54.4
45,14:15:38,4.522822618484497,54.4
46,14:15:39,4.623388767242432,54.4
47,14:15:39,4.72374415397644,54.4
48,14:15:39,4.8243327140808105,54.4
49,14:15:39,4.924777507781982,54.4
50,14:15:39,5.025258302688599,54.4
51,14:15:39,5.126109838485718,54.4
52,14:15:39,5.2265849113464355,54.4
53,14:15:39,5.326820611953735,54.4
54,14:15:39,5.4273717403411865,54.4
55,14:15:39,5.527942180633545,54.4
56,14:15:40,5.628629922866821,54.4
57,14:15:40,5.729284763336182,54.4
58,14:15:40,5.829712152481079,54.4
59,14:15:40,5.930194616317749,54.4
60,14:15:40,6.030784606933594,54.4
61,14:15:40,6.131252765655518,54.4
62,14:15:40,6.231475591659546,54.4
63,14:15:40,6.331872463226318,54.4
64,14:15:40,6.432298183441162,54.4
65,14:15:40,6.532744884490967,54.4
66,14:15:41,6.6332619190216064,54.4
67,14:15:41,6.734107971191406,54.4
68,14:15:41,6.834520101547241,54.4
69,14:15:41,6.93518853187561,54.4
70,14:15:41,7.035679817199707,54.4
71,14:15:41,7.136306524276733,54.4
72,14:15:41,7.237048149108887,54.4
73,14:15:41,7.33729887008667,54.4
74,14:15:41,7.4376301765441895,54.4
75,14:15:41,7.538048267364502,54.4
76,14:15:42,7.638603687286377,54.4
77,14:15:42,7.739110708236694,54.4
78,14:15:42,7.839547634124756,54.4
79,14:15:42,7.939992666244507,54.4
80,14:15:42,8.040715217590332,54.4
81,14:15:42,8.14133071899414,54.4
82,14:15:42,8.241753816604614,54.4
83,14:15:42,8.34233546257019,54.4
84,14:15:42,8.442956447601318,54.4
85,14:15:42,8.543380737304688,54.4
86,14:15:43,8.643810987472534,54.4
87,14:15:43,8.744397401809692,54.4
88,14:15:43,8.845160245895386,54.4
89,14:15:43,8.945409059524536,54.4
90,14:15:43,9.045821905136108,54.4
91,14:15:43,9.146665334701538,54.4
92,14:15:43,9.247220754623413,54.4
93,14:15:43,9.34765100479126,54.4
94,14:15:43,9.448024034500122,54.4
95,14:15:43,9.548389911651611,54.4
96,14:15:44,9.649154424667358,54.4
97,14:15:44,9.749516725540161,54.4
98,14:15:44,9.849925518035889,54.4
99,14:15:44,9.950312852859497,54.4
100,14:15:44,10.050947904586792,54.4
101,14:15:44,10.15137505531311,54.4
102,14:15:44,10.251792430877686,54.4
103,14:15:44,10.352376699447632,54.4
104,14:15:44,10.453117370605469,54.4
105,14:15:44,10.553369045257568,54.4
106,14:15:45,10.653742551803589,54.4
107,14:15:45,10.754171371459961,54.4
108,14:15:45,10.854698657989502,54.4
109,14:15:45,10.955279111862183,54.4
110,14:15:45,11.055597066879272,54.4
111,14:15:45,11.15613055229187,54.4
112,14:15:45,11.256859540939331,54.4
113,14:15:45,11.357295989990234,54.4
114,14:15:45,11.457671403884888,54.4
115,14:15:45,11.558075428009033,54.4
116,14:15:46,11.658494234085083,54.4
117,14:15:46,11.759154558181763,54.4
118,14:15:46,11.859711170196533,54.4
119,14:15:46,11.960261583328247,54.4
120,14:15:46,12.060578346252441,54.4
121,14:15:46,12.161285161972046,54.4
122,14:15:46,12.26171875,54.4
123,14:15:46,12.362154245376587,54.4
124,14:15:46,12.462530374526978,54.4
125,14:15:46,12.562824487686157,54.4
126,14:15:47,12.663005828857422,54.4
127,14:15:47,12.763433933258057,54.4
128,14:15:47,12.863991260528564,54.4
129,14:15:47,12.96472454071045,54.4
130,14:15:47,13.064969539642334,54.4
131,14:15:47,13.16573452949524,54.4
132,14:15:47,13.266196012496948,54.4
133,14:15:47,13.366806983947754,54.4
134,14:15:47,13.467148303985596,54.4
135,14:15:47,13.567397594451904,54.4
136,14:15:48,13.667986154556274,54.4
