timeProcessed,filename,score,detect
16-06-2024_22:00:55,./image/16-06-2024_22:00:54.jpg,0,0
16-06-2024_22:00:56,./image/16-06-2024_22:00:55.jpg,0,0
16-06-2024_22:01:01,./image/16-06-2024_22:01:00.jpg,0,0
16-06-2024_22:01:02,./image/16-06-2024_22:01:01.jpg,0,0
16-06-2024_22:01:07,./image/16-06-2024_22:01:06.jpg,0,0
16-06-2024_22:01:08,./image/16-06-2024_22:01:08.jpg,0,0
16-06-2024_22:01:13,./image/16-06-2024_22:01:12.jpg,0,0
16-06-2024_22:01:14,./image/16-06-2024_22:01:14.jpg,0.9222185015678406,1
16-06-2024_22:01:19,./image/16-06-2024_22:01:18.jpg,0,0
16-06-2024_22:01:20,./image/16-06-2024_22:01:20.jpg,0.925845742225647,1
16-06-2024_22:01:25,./image/16-06-2024_22:01:25.jpg,0,0
16-06-2024_22:01:32,./image/16-06-2024_22:01:32.jpg,0,0
16-06-2024_22:01:39,./image/16-06-2024_22:01:38.jpg,0,0
16-06-2024_22:01:43,./image/16-06-2024_22:01:43.jpg,0,0
16-06-2024_22:01:45,./image/16-06-2024_22:01:44.jpg,0.9285708665847778,1
16-06-2024_22:01:49,./image/16-06-2024_22:01:49.jpg,0,0
16-06-2024_22:01:51,./image/16-06-2024_22:01:50.jpg,0,0
16-06-2024_22:01:55,./image/16-06-2024_22:01:55.jpg,0,0
16-06-2024_22:01:57,./image/16-06-2024_22:01:56.jpg,0,0
16-06-2024_22:02:03,./image/16-06-2024_22:02:02.jpg,0,0
16-06-2024_22:02:08,./image/16-06-2024_22:02:07.jpg,0,0
16-06-2024_22:02:09,./image/16-06-2024_22:02:08.jpg,0.5025312900543213,1
16-06-2024_22:02:14,./image/16-06-2024_22:02:13.jpg,0.845636785030365,1
16-06-2024_22:02:15,./image/16-06-2024_22:02:14.jpg,0.9149722456932068,1
16-06-2024_22:02:20,./image/16-06-2024_22:02:19.jpg,0.7291389107704163,1
16-06-2024_22:02:21,./image/16-06-2024_22:02:20.jpg,0,0
16-06-2024_22:02:26,./image/16-06-2024_22:02:25.jpg,0,0
16-06-2024_22:02:27,./image/16-06-2024_22:02:27.jpg,0,0
16-06-2024_22:02:32,./image/16-06-2024_22:02:31.jpg,0,0
16-06-2024_22:02:33,./image/16-06-2024_22:02:33.jpg,0,0
16-06-2024_22:02:38,./image/16-06-2024_22:02:37.jpg,0,0
16-06-2024_22:02:40,./image/16-06-2024_22:02:39.jpg,0,0
16-06-2024_22:02:46,./image/16-06-2024_22:02:45.jpg,0,0
